accept_trade_deal_23_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_23_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_24_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_24_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_25_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_25_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_26_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_26_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_27_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_27_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_28_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_28_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_29_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_29_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
accept_trade_deal_30_title;即Accept Trade Deal;;;;;;;;;;;;;x
accept_trade_deal_30_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;x
cancel_trade_agreements_1_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_1_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_2_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_2_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_3_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_3_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_4_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_4_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_5_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_5_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_6_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_6_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_7_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_7_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_8_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_8_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_9_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_9_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_10_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_10_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_11_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_11_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_12_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_12_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_13_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_13_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_14_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_14_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_15_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_15_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_16_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_16_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_17_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_17_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_18_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_18_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_19_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_19_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_20_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_20_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_21_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_21_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_22_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_22_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_23_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_23_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_24_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_24_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_25_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_25_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_26_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_26_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_27_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_27_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_28_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_28_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_29_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_29_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
cancel_trade_agreements_30_title;即Cancel Trade Agreement;;;;;;;;;;;;;x
cancel_trade_agreements_30_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;x
EVTNAMErequestsupplies;Request Supplies;;;;;;;;;;;;;x
EVTDESCrequestsupplies;Choose an amount you wish to ask for.;;;;;;;;;;;;;x
EVTNAMEgivesupplies;Military Supplies Requested;;;;;;;;;;;;;x
EVTDESCgivesupplies;Another nation has come to us to ask for military supplies. Shall we give it to them?;;;;;;;;;;;;;x
Ask_500_Ammunition;Ask for 500 units of Ammunition.;;;;;;;;;;;;;x
Ask_2500_Ammunition;Ask for 2500 units of Ammunition.;;;;;;;;;;;;;x
Give_500_Ammunition;Give them 500 units of Ammunition.;;;;;;;;;;;;;x
Give_2500_Ammunition;Give them 2500 units of Ammunition.;;;;;;;;;;;;;x
Ask_500_Artillery;Ask for 500 units of Artillery.;;;;;;;;;;;;;x
Ask_2500_Artillery;Ask for 2500 units of Artillery.;;;;;;;;;;;;;x
Give_500_Artillery;Give them 500 units of Artillery.;;;;;;;;;;;;;x
Give_2500_Artillery;Give them 2500 units of Artillery.;;;;;;;;;;;;;x
Ask_500_Canned_Food;Ask for 500 units of Canned Food.;;;;;;;;;;;;;x
Ask_2500_Canned_Food;Ask for 2500 units of Canned Food.;;;;;;;;;;;;;x
Give_500_Canned_Food;Give them 500 units of Canned Food.;;;;;;;;;;;;;x
Give_2500_Canned_Food;Give them 2500 units of Canned Food.;;;;;;;;;;;;;x
Ask_500_Small_Arms;Ask for 500 units of Small Arms.;;;;;;;;;;;;;x
Ask_2500_Small_Arms;Ask for 2500 units of Small Arms.;;;;;;;;;;;;;x
Give_500_Small_Arms;Give them 500 units of Small Arms.;;;;;;;;;;;;;x
Give_2500_Small_Arms;Give them 2500 units of Small Arms.;;;;;;;;;;;;;x
EVTNAMEgrantoptions;Grant Options;;;;;;;;;;;;;x
EVTDESCgrantoptions;In order to give player grants or military supplies, select the enable giving aid option. If you wish to automatically deny grants and military supplies, select the deny giving aid option. If you are asking for a money grant or military supplies, select the type of aid you wish to receive. Note that if you wish to give military supplies to another player, you must manually set your stockpile to buy >500 or >2500 of the good you wish to send, as those are the only two numbers available to request.;;;;;;;;;;;;;x
